TEXTO;VIOLENCIA;Mención MUJER;Mención HOMBRE;Dirigido MUJER;Dirigido HOMBRE
@laSextaTV @Calope01799313 Porque se va a retractar de decir la verdad?;0;0;0;0;0
@laSextaTV Grande Cayetana. Secta!!;0;1;0;0;0
@laSextaTV Cayetana NOS representa.;0;1;0;0;0
@laSextaTV @cayetanaAT Es su opinin, respetarla rojitos mios , respetarla;0;1;0;0;0
@laSextaTV Ole t  https://t.co/1QTr5oj3TQ;0;0;0;0;0
@laSextaTV Y a lo mejor es que se equivoca...;0;0;0;0;0
@laSextaTV Pero si es verdad!;0;0;0;0;0
@mrinaki creo que el lgtbi es el que est�� cabeza abajo. en plan sat��nico. no se. no se me ocurr��a nada m��s. soy dalt��nico. y un poco tonto tambi��n. . pero sobretodo dalt��nico.;0;0;1;0;0
@laSextaTV @laSextaTV es de extrema izquierda, quin lea ve si no los poco pensantes que se creen cualquier tontera;0;0;0;0;0
@laSextaTV Por qu tiene que retractarse de decir la verdad? Os ha escocido? Pues no seis una panda de periodistas a sueldo de polticos rojos.;0;0;0;0;0
@laSextaTV Totalmente de acuerdo con @cayetanaAT;0;1;0;0;0
@IreneMontero BALEARES. Se juzga por los actos y hechos, no por las palabras.;0;1;0;0;0
@laSextaTV Ustedes crticais a diario, se llama libertad de expresin.;0;0;0;0;0
@laSextaTV @cayetanaAT Lo que ha dicho Cayetana no es mentira.;0;1;0;0;0
@IreneMontero Ministerio dice!...;0;1;0;0;0
@laSextaTV Como os jode que os digan la verdad.;0;0;0;0;0
@laSextaTV Ni falta que le hace tiene  un saco de razn !! Y te voy a decir otra cosita tambin sois los culpables de la alarma por el coronabirus, por tremendistas, os pasasteis 7 pueblos con los chinos . Ahora os moderis??? rdenes del jefe no??;0;0;0;0;0
@laSextaTV Esta seora es una broma de la poltica, ni ms ni menos;0;1;0;0;0
@laSextaTV lvarez de Toledo esta encontra de la Sexta y de las mujeres esto es bueno o malo para su partido?;0;1;0;0;0
@laSextaTV BIEN, POR CAYETANA...BIEEEEN!;0;1;0;0;0
@IreneMontero Con que primero borrachas y luego gritando por la calle, eh.. https://t.co/zIouRXbg9G;0;1;0;1;0
@IreneMontero Vaya una gilipollez, nunca vestir o beber ha justificado o atenuado nada de eso ms all de los locos y delincuentes y algunos inquisidores que los necesitan para llamar al gnero masculino en general 'asesino';0;1;0;1;0
@IreneMontero Al 99,99 % de los hombres nos importa un mojn cmo vuelvas a casa, Irene. A los pocos salvajes que impediran que volvieses sana y salva, vosotros los queris dejar en la calle cuanto antes. Mratelo.  Feliz borrachera.;0;1;1;1;0
"@IreneMontero ""Hermana yo si te creo"" Las menores de Baleares y la menor de Valencia, no son hermanas tuyas?";0;1;0;1;0
@IreneMontero El Juez Calatayud luchando contra el alcoholismo en los menores de edad y t fomentandolos...;0;1;0;1;0
@IreneMontero Que cansa eres, Hija!! https://t.co/3R331FCjDM;0;1;0;1;0
@IreneMontero No te molestes que no te van a entender;0;1;0;1;0
"@IreneMontero Corregid eso de ""borrachas"" Irene, y el mensaje quedar genial. El feminismo es muy necesario para muchos pero el alcoholismo es una desgracia para todos. #feminismonoesalcoholismo";0;1;0;1;0
@laSextaTV Contra esta banda meditica, #YoTeApoyoCayetana;0;1;0;1;0
@IreneMontero Un mensaje muy educativo !;0;1;0;1;0
@IreneMontero Y tu has estudiao psichologia o como se diga?, a ti tan dao el carn en una tmbola como al del Cum fraude;0;1;0;1;0
@IreneMontero Mis aspiraciones como mujer, no son llegar a casa borracha, sera llegar sana y salva a mi  casa,  cuidado con lo que se quiere ideologizar...;0;1;0;1;0
@IreneMontero Esa ley no va a reducir las intenciones de un criminal de asaltar y atacar. Se escuda en volver a generalizar ruinmente sobre el gnero masculino. Vamos a tener que empezar a hacer como Sheldon Cooper. Bravo, esto es el progreso. https://t.co/w5QeWNfCPR;0;1;0;1;0
"@IreneMontero Todas las mujeres tienen derecho a volver a casa, nada justifica una agresin sexual, PERO no me parece un eslogan correcto para un Ministerio: ""sola borracha quiero llegar a casa"". Aunque nos emborrachemos  alguna vez...";0;1;0;1;0
"@IreneMontero Violencias machistas, la nueva palabra una vez que la violencia de gnero empieza a no dar tantos votos. La otra palabra nueva es ""brecha de gnero"", porque ya se ha visto que la brecha salarial es MENTIRA. Patriarcadoooooo";0;1;0;1;0
"@IreneMontero Me gustara que vinieras y le explicaras a mis dos hijas el lema. Yo no soy capaz de transmitir el ""CONCETO"".";0;1;0;1;0
@IreneMontero Solos y solas sii,ni borrachos ni borrachas.!!! Vaya palabras, vaya ejemplo sra ministra.!!!;0;1;0;1;0
@IreneMontero Compartiendo el mensaje de fondo el slogan es una estupidez mal planteada que no hay por donde coger.  De un Ministerio espero poltica seria.  Esto no lo es.;0;1;0;1;0
@IreneMontero La cagada es del nivel de tu nivel As piensas, as eres y as te muestras  Tranquila que pronto estars es tu casa ponindote hasta las patas de lo que quieras;0;1;0;1;0
@tatclouthier Soy PRO-AMLO. Si tuvieras la mitad de ganas de defender a AMLO as lo haran, por mas que me caiga mal Javier Lozano, mis respetos, el si sabe debatir a diferencia de ustedes que quedan en #RIDICULO en Televisa.  Aprendan, tomen notas. #AMLO2018  https://t.co/Z3Bv5UChYr;0;0;1;0;1
@manueldelgador7 @montsanto no veo ninguna bandera lgtbi. ��es la cup una organizaci��n homofoba?;0;0;1;0;1
@adrier_ENC VOX y el PP socialdemcratas? JAJAJAJAJAJAJAJAJSJSJSJSJ dios esta no me la esperaba me cago en la puta as que Ayuso y Abascal son los nuevos Bernstein y Palme, fieles lectores del ltimo Kautsky y camaradas de Attlee  god damn ojal bro;0;1;1;0;1
@RaymundoGC Solo nos falta tu top 10 en @Spotify estamos muy intrigados por tus canciones favoritas. #izcalli #Ridiculo;0;0;1;0;1
"@laSextaTV Parece que a la Sextapo le jode que se les critique... Pero si no ha dicho ninguna mentira, Ferreras... A ver cundo explicas las tres capas de calzoncillos y los negocios de la ""imparcial"" de tu mujer con Newtrola, verificando las noticias que no os gustan...Y de tu cuada algo?";0;0;1;0;1
@laSextaTV @cayetanaAT Totalmente de acuerdo con ella...sois un foco de desinformacin...ferreras alias tres capas de calzoncillos!!;0;1;1;0;1
@laSextaTV @cayetanaAT Dales caa!!!, y sobre todo a los tuyos del @populares estreidos ideolgicos, cuidado con el seudosegoviano q cuando pueda se la prepara...;0;1;1;0;1
@paisjodido @anluma99 En que quedamos, eres de Ayuso y te da asco el PP.  O te paga el equipo de Ayuso, y tambin el PP.  Te lo llevas muerto x2. ??  Se te cae el discurso compaero;0;1;1;0;1
@cfcarroe @donfran62653782 @dantesedmundo_ @alvaropielago pues a mi no me molesta que pongan la bandera lgtbi, casi me dan m��s miedos esos debates o discursos pues depende de qui��n los imparta, la cantidad mentiras que les sueltan es incre��ble.;0;0;1;0;1
@laSextaTV Efectivamente as es. La libertad de prensa le sirve a Ferreras y compaia para atacar a quienes no piensan como l. Su falta de imparcialidad, necesaria en el periodismo, es ms que evidente. El puede criticar pero ojo con meterse con l.;0;0;1;0;1
"@pnique Para silencios, los que t y los de tu ralea guardais cuando las ""manadas"" son de inmigrantes. #DasAsco";0;0;1;0;1
@laSextaTV Igualito que nuestro vicepresinte, que solo dice  que habra que cerrar ciertos medios y meter en prisin a periodistas. Con respecto a eso, protestais poquito no?;0;0;1;0;1
"@Rafa_Hernando Teniendo en cuenta que cuando quemaron la fachada de la sede de Podemos Cartagena los vuestros se lanzaron a decir que haba sido la lder (que acababa de superar un cncer), me cuesta sentir empata hacia Ayuso. S condeno el empleo de la palabra ""puta"" como insulto.";0;1;1;0;1
@AntonioMaestre Del sur, del norte del este y del oeste. Pero de Espaa. Y no por la Sanidad Pblica, q os importa una puta mierda, a juzgar por los Presupuestos, sino contra Ayuso, evidentemente  https://t.co/oOe7OafxXr;0;1;1;0;1
@laSextaTV @jesumontana Ser porque tiene razn;0;0;1;0;1
@antonioabadg madre m��a, pero si t�� vives de utilizar al colectivo lgtbi para sacarte la paga. mirate un poco al espejo;0;0;1;0;1
@alejandromp66 hay algunos que vaya tela, est�� claro que por ver una bandera lgtbi ya te vuelves gay. si usamos la misma l��gica si ves pel��culas de terrorista lo primero que haces es pillarte un ak-47 xd;0;1;0;0;1
"@AntonioMautor Aprende esta leccin, vocero: ""Si votas mierda... obtienes puta mierda"".  De quin es la culpa de esto ahora? De Ayuso, quizs? Vyase a seguir pastando...";0;1;1;0;1
12 millonarios que prueban que no eres feo, solo pobre #amaliewichmann #angeliqueboyer #benbrown #brucewillis #cathyschmitz #deborahvaldez #dinero #elgerocastro #emmaheming #FAMOSOS #feo #francoishenripinault #inters #jamesgoldstein #jennabentley #melan https://t.co/epcNrAGztm https://t.co/ILTaXAKg3B;0;0;1;0;1
@IreneMontero @PabloIglesias Que denigrante queda lo de borrachas. Eso es vuestro feminismo? As queris que seamos vistas? Patetico.;0;1;1;1;1
@laSextaTV @cayetanaAT @vox_es @Santi_ABASCAL, pero vamos a ver, si eso lo consideris ataque, lo que haceis @laSextaTV con VOX, como lo clasificamos? De verdad tener un poco de dignidad y autocritica primero.;0;1;1;1;1
"@laSextaTV El nico que se salva de vuestra cadena , Alfonso Ars; los dems, morralla periodstica al servicio de la ultraizquierda.";1;0;1;0;0
@rosamariaartal @TwitDiscordante Es una vergenza vuestro sectarismo. Que la sanidad est hecha un desastre es evidente, pero es algo absolutamente generalizado en Espaa. Vosotros os centris en Ayuso por un simple inters sectario. Qu pasa en el resto de autonomas?, no tienes nada que decir?. Qu asco;1;1;0;0;0
@laSextaTV Es que tiene toda la razn. La Sexta es la lucrativa voz de la secta socio comunista y separatista;1;0;0;0;0
@laSextaTV Sois unos sectarios, en uso de mi Libertad de expresin lo repito: SECTARIOS;1;0;0;0;0
@laSextaTV Como tampoco os retractais vosotros de vuestra vergonzante lnea editorial...Por cierto, para cua do especiales sobre los Eres, El Caso Edu, La prostitucion infantil en centros tutelados de Baleares, manadas de violadores no nacionales, los 2 sepultados de Zaldibar...?;1;0;0;0;0
"@laSextaTV Gordinflon &amp; chancletas estn rebotados. Ja ja ja ja. Dales otra pildorita @cayetanaAT, que la estn pidiendo a gritos.";1;1;0;0;0
Son artistas en desviar la atencin de sus tropelas, esta manifa es para tapar la eliminacin del delito de sedicin y la nueva concesin al independentismo, peor Ayuso mala. Que asco https://t.co/dL7uejdFVb;1;1;0;0;0
@laSextaTV La Secta... Manipulacin...;1;0;0;0;0
@FelixLopez_Rey Es que no os queda claro que Ayuso fue y ser MAYORIA ABSOLUTA, y que estis todos los  pagaos y  subencionaos hoy en las calles no va a cambiar nada Con Ayuso no podeis, y realmente la sanidad pblica os importa una puta mierda y lo sabeis;1;1;0;0;0
@Monica_Garcia_G dais asco y verguenza a partes iguales, mamarrachos de las izqdas. si no fuera porque ese akelarre lo pagamos todos, seria para reir muchos dias seguidos, seguid asi, en las proximas elecciones, Ayuso os ganara por mayoria absoluta, bastardos.;1;1;0;0;0
"@gramuag21 Dan mucho asco, oportunismo y marketing poltico, Ayuso molesta a ""izquierda"" y ""derecha"" y la quieren quitar de enmedio como sea.";1;1;0;0;0
@laSextaTV Retractarse de que ?? De deciros la verdad en vuestra cara ?? Sois unos manipuladores !!!;1;0;0;0;0
@laSextaTV @cayetanaAT @cayetanaAT, la derechita cobarde ni si quiera te defiende. Algunos como @FeijooGalicia te atacan.  Los nicos que te han defendido son @vox_es. Si vas a decir lo que piensas sin complejos, el cobarde PP no es tu partido. Ests a tiempo de cambiar.;1;1;0;0;0
@laSextaTV Cuando se dice la verdad no hay que retractarse, la secta es una bazofia que sirve de correa de transmisin al Dr. fake.;1;0;0;0;0
@laSextaTV La sexta , o la Sextapo que dira Losantos, es una cadena sectaria y bolivariana. Es divertido verla y leer entre lneas, da la sensacin de vivir en el franquismo pero con un peor nivel intelectual.;1;0;0;0;0
@JesusCintora La ayuso no sale a la calle, no tiene ni puta idea de lo que pasa en los ambulatorios lo de poner un plasma en ginecologa es un parraque, vaya que con dos canutos de Mara de la buena no me da para est gran ocurrencia;1;1;1;0;0
@laSextaTV Ms que sexta, sois la secta.;1;0;0;0;0
@trashblindcut Esa foto la amo mucho esa carita de inocente #Puta;1;0;0;0;0
@laSextaTV @cayetanaAT Y hay partidos como el tuyo que deberian estar ilegalizados por CORRUPTOS;1;0;0;0;0
Jaja no mi chula, para ser cmo yo te falta muuuuchooo!!!  Jajaja #DasPena;1;0;0;0;0
@IreneMontero V-E-T-E  A  L-A  M-I-E-R-D-A;1;1;0;1;0
@Monica_Garcia_G Que cansina eres comunista genocida. Que obsesin con Ayuso, si pusieras la misma obsesin con t trabajo. A no que eres una vaga de campeonato. Que asco que das sinvergenza.;1;1;0;1;0
"@GLlamazares No se me qued usted en la media...   La huelga que comienza el lunes son Miles y miles de mdicos y mdicas.  Ayuso ha ""ganado"" a los 40 mdicos y mdicas.  Vienen cuatro mil, ZORRA.";1;1;0;1;0
@IreneMontero Es lo q tiene no ser una agraciada o agraciado intelectual!!! Defiende la prisin permanente revisable para violadores y deja de decir estupideces.;1;1;0;1;0
@IreneMontero Subnormal de mierda;1;1;0;1;0
#Ysipudiera te mentaba la madre En persona  #PUTA;1;1;0;1;0
@IreneMontero Eres repugnante an si llevo dos copas de ms;1;1;0;1;0
@IreneMontero Hacer apologa en inciatacin al alcoholismo entre todas las menores y adolescentes que siguen este movimiento hoy en da es como poco aberrante y de una irresponsabilidad digna de una colegiala de secundaria .;1;1;0;1;0
@IreneMontero Qu nivel Maribel! Que un ministerio, que ha de representarnos a todos mos espaoles est en manos de semejante iletrada da mucha pena;1;1;0;1;0
@IreneMontero Cmo puedes ser tan mentirosa falsa e hipcrita, cuando vas a rectificar y a pedir perdn por todas las falsedades que salen de tu sucia boca, asco siento al orte hablar...fascista;1;1;0;1;0
Vosotros os imaginis a personas mayores con ms de 85 aos haciendo consultas con el mdico por videoconferencia? Esta ta est como una puta cabr lo hace para poder quitarse de en medio a ms gente mayor como hizo en las residencias de ancianos, Ayuso es una genocida peligrosa;1;1;0;1;0
Deja de querer llamar la atencin #ridicula;1;1;0;1;0
"@IreneMontero Eres lamentable y lo sabemos todos menos t, o eso parece.  Qu cantidad de tonteras dices, ""nia de pancarta"". https://t.co/mofdQ5r5Hn";1;1;0;1;0
@NavarrofJose @carlosdavidgf No hombre no fachapobre a Venezuela nos lleva la genocida de Ayuso ,solo hay que ver la sanidad ,que es que no dais pa ms, solo tenis un puto discurso en la cabeza: Venezuela, infelices parsitos y ladrones que votan a una banda criminal, qu asco que dis;1;1;0;1;0
@IreneMontero Para la prxima ley que nos empiecen a castrar y a la siguiente las cmaras de gas. https://t.co/KRyWExVsra;1;1;0;1;0
@iescolar Ayuso es una impresentable a la que le falta media hora de coccin...tena que estar en la puta crcel.....y todos los que votan a gente de esta calaa son unos borregos ....;1;1;0;1;0
Aquien quieres engaar?!!!  Che amargada... Siii a leguas se nota la envidia que te corroe  #fea #amargada #huelesmal #jajaj #sacaboom;1;1;0;1;0
@IreneMontero Esto no es serio ni es conducta de un Ministro, esto me recuerda a la pija flautas del cole de 2 de BUP  de mi poca . Lo dicho : Quien se acuesta con nios meado de levanta  Otra mas de la pija flauta esta  Mejor que sigas con la siestecita y las tartas  de la cuchipandi;1;1;0;1;0
@wesguayas @Lisjuny64 La que ha privado de asistenta mdica y a provocado la muerte de 7000 personas se llama Isabel Ayuso, no Pedro Snchez.  Y si la movilizacin el otro da a favor de la Sanidad Pblica donde haba miles de personas es porque la sanidad os va de puta madre y no como una mierda, eh!;1;1;1;1;0
Ale Feijoo a mentir, manipular y contra la democracia, para que Ayuso no te quite el asiento  Asco das asco;1;0;1;0;1
@rmartinpalacios @PSOE Endocrino es de 7 meses....me da asco y vergenza que el canalla del Revilla est pasendose por los medios de comunicacin y nadie le diga nada. Y ayuso sea la mala de la pelcula...porque todo el mundo sabe que se va a cargar a Pinocho cmo hizo con el cheposo. Viva Ayuso.;1;1;1;0;1
@ierrejon Va dar una leccin de como hacer presidenta del gobierno nacional a Isabel Daz Ayuso y de cmo despertar y aumentar mucho ms an el desprecio y asco que os tenemos millones y millones de espaoles y madrileos. Patticos.;1;1;1;0;1
@AlvaroUribeVel Definitivamente, el ladrn juzga por su condicin. #Ridculo;1;0;1;0;1
@laSextaTV Es que es mentira?, Cuantas veces habis llevado a los Socialcomunistas para que den mtines antes la cmaras? no todo Atresmedia es igual, no es lo mismo el sectarismo de Ferreras,  que la imparcialidad de Vicente Valls;1;0;1;0;1
@CiudadanosCs Uff!, anda que vosotros que habis apoyado la ley de Irene Montero. Vaya asco de polticos ineptos que tenenos. Y Feijoo otro inepto Ayuso es la the nica que vale!;1;1;1;0;1
@SuperRoStar Asco de tu poca vergenza, defendiendo una ley que est sacando a la calle a violadores y pederastas....me gustara leer tus comentarios si hubiera sido Ayuso  Correcaminos!!!;1;1;1;0;1
@RoZulo1 @Fran_Guerrero82 Salieron 4 gatos y Ayuso gobierna y a ti Fran te quedan 2 telediarios para estar en la puta calle con el ex coletas;1;1;1;0;1
@IreneMontero Y con este MACHISTA que se define as mismo como psicpata que hacemos???.  https://t.co/ts4eXuoq0S;1;1;1;0;1
@JC_C_A Otro como la Ayuso que culpa de su mala gestin a todo el mundo. Asco!;1;1;1;0;1
@pilichus @riberaggio @SerranoAlfonso @ComunidadMadrid @populares Dios, sois talibanes, troncos.  En fin, desisto. Seguid pidiendo a Ayuso que genere mdicos, que vais a atajar el problema que tanto os importa de puta madre.;1;1;0;0;1
@soy_502 Y las feministas no van a protestar? Que este payaso cobarde ponga a mujeres a su servicio para protegerse ! #Patetico #Ridiculo;1;1;1;0;1
Conforme celebra los goles del barsa pipas alcacer jurara que desde pequeo formama parte de la masa y nunca jugador de paterna. #decepcionante #fracasado #desterrado#desterrado;1;0;1;0;1
"@OnlyHAL2 Cuando ese hijo de puta entre en la crcel quedara inhabilitada la posibilidad de ""y los ERES qu?"" pero Ayuso y Feijo con sus muertes, mas de 10.000, no se van a librar de su responsabilidad, al menos a nivel social y poltico.";1;1;1;0;1
#AlavsAtleti hasta cundo se me va a permitir a Diego Costa hacer lo que le sale de los huevos en todos los campos que pisa?yo no estaria orgulloso de tener en mi equipo un jugador as #dasasco;1;0;1;0;1
@DANIROVIRA Ayuso te est infinitamente agradecida, con el asco que provocas a la gente Dani cualquier crtica tuya es un halago xD.En las plataformas las pelis en las que apareces son automticamente descartadas por la gente para verlas de lo buen actor que eres y repulsivo que nos resultas;1;1;1;0;1
@AlvaritoMorales #Ridiculo Jajajajajaja;1;0;1;0;1
@Rafa_Hernando que puta vergenza insultar a una presidenta como ayuso de la comunidad de Madrid lo que da pena es esta izquierda que tenemos en este pas eso si es vergenza mucha fuerza a ayuso;1;1;1;0;1
Divino el #presidente @mauriciomacri en vez de estar con las personas afectadas por la tormenta, visit un CUARTEL DE BOMBERO pufff #verguenza_total  #Ridculo;1;0;1;0;1
@victorgdlv Para Almeida: carapolla y para Ayuso: IDA, asesina y puta. No son insultos, son unos cariosos apodos de la izquierda.;1;1;1;1;1
@IreneMontero Fuera vende obreros de la Universidad! La gente de izquierdas haciendo escraches al piojoso que duerme a tu lado. Que alegra! Qu se fastidie tu macho alfa por no decir que se joda,que es capaz;1;1;1;1;1
